pwd,"prints the path of the working directory; starting from there"
ls,"Short for lists; displays the file and directory names in the current working directory"
cd,"It is used to change current working directory"
mkdir,"Allows the user to create directories"
rmdir,"Used to remove empty directories from the filesystem in Linux"
rm,"Used to remove objects from the file system"
cp,"Used to copy files or group of files or directory"
mv,"Used to move one or more files or directories from one place to another in file system like UNIX"
ssh,"Protocol used to securely connect to a remote server/system"
scp,"Used to copy file(s) between servers in a secure way"
man,"Used to display the user manual of any command that we can run on the terminal"
g++,"Used for preprocessing/compilation/assembly and linking of source code to generate an executable file"
gcc,"GNU Compiler Collections is used to compile mainly C and C++ language"
make,"Used to build executable programs and libraries from source code"
ps,"Used for viewing the processes running on the system"
kill,"Used to terminate processes manually"
top,"Provides a dynamic real-time view of the running system"
who,"Used to get information about currently logged in user on to system"
chmod,"Used to change the access mode of a file"
cat,"Reads data from file and gives their content as output"
alias,"Instructs the shell to replace one string with another string while executing the commands"
chown,"Used to change the file Owner or group"
df,"Used to display information related to file systems about total space and available space"
grep,"Searches a file for a particular pattern of characters then displays all lines that contain that pattern"
echo,"Used to display line of text/string that are passed as an argument"
exit,"Used to exit the shell where it is currently running"
clear,"Used to clear the terminal screen"
find,"Used to find files and directories and perform subsequent operations on them"
finger,"Used to look up users on a remote machine"
free,"Displays the total amount of free space available along with the amount of memory used and swap memory in the system"
